Teste,Tamanho do Grid,Percentual Obstaculos (%),Tempo de Execucao (s),Tempo de Execucao (ms),Nos Expandidos,Vizinhos Avaliados,Vizinhos Inseridos na Lista Aberta,Tamanho Maximo da Lista Aberta,Comprimento do Caminho (passos),Custo Total do Caminho
1,5000x5000_0,0,17.075,17075,2281690,18253512,4363316,275139,5344,72050
2,5000x5000_0,0,27.509,27509,4069734,32557864,7590218,463234,5306,71830
3,5000x5000_0,0,9.062,9062,1296053,10368416,2646706,172168,5204,71210
4,5000x5000_0,0,8.721,8721,1290575,10324592,2563687,169552,5206,71222
5,5000x5000_0,0,14.443,14443,2104699,16837584,4124693,267093,5317,71888
6,5000x5000_0,0,13.698,13698,2048937,16391488,4018666,261333,5314,71870
7,5000x5000_0,0,10.866,10866,1681591,13452720,3351582,221255,5268,71602
8,5000x5000_0,0,14.526,14526,2200567,17604528,4257990,266737,5325,71944
9,5000x5000_0,0,8.737,8737,1276466,10211720,2488615,162045,5203,71212
10,5000x5000_0,0,11.082,11082,1643062,13144488,3341745,216465,5241,71440
11,5000x5000_0,0,13.894,13894,2042705,16341632,4000066,263711,5309,71840
12,5000x5000_0,0,30.669,30669,4549913,36399296,8467790,555944,5328,71954
13,5000x5000_0,0,14.680,14680,2201212,17609688,4244664,270166,5336,72002
14,5000x5000_0,0,14.190,14190,2095729,16765824,4062115,262555,5321,71920
15,5000x5000_0,0,12.189,12189,1842723,14741776,3630752,237030,5293,71744
16,5000x5000_0,0,12.159,12159,1754429,14035424,3447982,217160,5265,71576
17,5000x5000_0,0,32.289,32289,4834649,38677184,9060849,581520,5341,72032
18,5000x5000_0,0,28.344,28344,4112076,32896600,7605207,476728,5297,71768
19,5000x5000_0,0,11.895,11895,1762232,14097848,3533331,235454,5268,71594
20,5000x5000_0,0,12.127,12127,1709236,13673880,3401124,223239,5266,71590
21,5000x5000_10,10,33.368,33368,5499276,43994200,9399541,629055,5485,72912
22,5000x5000_10,10,34.590,34590,5762837,46102688,9763371,600395,5554,73438
23,5000x5000_10,10,14.880,14880,2458761,19670080,4520757,298405,5422,72534
24,5000x5000_10,10,14.270,14270,2257330,18058632,4166693,267039,5400,72394
25,5000x5000_10,10,16.104,16104,2614237,20913888,4669641,313334,5459,72748
26,5000x5000_10,10,13.634,13634,2266151,18129200,4177156,273946,5403,72412
27,5000x5000_10,10,19.845,19845,3207857,25662848,5631244,387952,5569,73448
28,5000x5000_10,10,15.159,15159,2488965,19911712,4500435,300904,5428,72570
29,5000x5000_10,10,14.648,14648,2392313,19138496,4393192,287458,5414,72486
30,5000x5000_10,10,19.833,19833,3266307,26130448,5692143,380895,5556,73450
31,5000x5000_10,10,18.607,18607,3037631,24301040,5256447,369990,5539,73292
32,5000x5000_10,10,16.463,16463,2778130,22225032,4981963,321082,5491,72948
33,5000x5000_10,10,16.665,16665,2709398,21675176,4824933,327877,5473,72856
34,5000x5000_10,10,16.358,16358,2659242,21273928,4700401,305530,5473,72824
35,5000x5000_10,10,16.868,16868,2713569,21708544,4919091,327740,5479,72876
36,5000x5000_10,10,14.904,14904,2472307,19778448,4565710,301145,5420,72506
37,5000x5000_10,10,14.642,14642,2369523,18956176,4366156,287051,5405,72432
38,5000x5000_10,10,16.994,16994,2766476,22131800,4900146,323197,5494,73006
39,5000x5000_10,10,16.510,16510,2581787,20654288,4647860,317178,5464,72786
40,5000x5000_10,10,34.778,34778,5704708,45637656,9880251,703673,5476,72874
41,5000x5000_20,20,19.166,19166,3478716,27829720,5706091,394565,5708,74306
42,5000x5000_20,20,41.305,41305,7714714,61717704,11816520,731634,5846,75654
43,5000x5000_20,20,42.225,42225,7813666,62509320,12121976,778683,5836,75426
44,5000x5000_20,20,20.874,20874,3937101,31496800,6259948,417210,5821,75072
45,5000x5000_20,20,20.365,20365,3693579,29548624,5950286,405463,5731,74604
46,5000x5000_20,20,20.679,20679,3739846,29918760,6023104,416545,5749,74744
47,5000x5000_20,20,40.122,40122,7437864,59502904,11570186,736760,5825,75328
48,5000x5000_20,20,18.588,18588,3421395,27371152,5647644,387081,5681,74224
49,5000x5000_20,20,19.689,19689,3681609,29452864,5914989,398524,5760,74730
50,5000x5000_20,20,23.006,23006,4164981,33319840,6522583,413546,5859,75532
51,5000x5000_20,20,40.284,40284,7412526,59300200,11349740,676549,5898,75886
52,5000x5000_20,20,20.595,20595,3848263,30786096,6052496,393730,5799,75100
53,5000x5000_20,20,20.904,20904,3847044,30776344,6094305,400423,5789,74992
54,5000x5000_20,20,20.888,20888,3905014,31240104,6194980,403962,5796,75018
55,5000x5000_20,20,39.763,39763,7587888,60703096,11690086,750574,5838,75550
56,5000x5000_20,20,21.213,21213,3922786,31382280,6342247,445604,5783,74956
57,5000x5000_20,20,20.366,20366,3762548,30100376,6005137,395950,5748,74850
58,5000x5000_20,20,20.399,20399,3714429,29715424,5912719,380627,5764,74794
59,5000x5000_20,20,44.588,44588,8026198,64209576,12148694,696680,5961,76688
60,5000x5000_20,20,39.557,39557,7311854,58494824,11339734,718040,5801,74992
61,5000x5000_30,30,28.442,28442,6027716,48221720,8472023,577374,6365,80360
62,5000x5000_30,30,22.325,22325,4706854,37654824,6884572,476807,6103,77756
63,5000x5000_30,30,21.556,21556,4513723,36109776,6632818,492470,6106,77854
64,5000x5000_30,30,27.668,27668,5911885,47295072,8379066,570136,6323,80140
65,5000x5000_30,30,27.135,27135,5631860,45054872,8058232,585179,6283,79580
66,5000x5000_30,30,27.098,27098,5713984,45711864,8138599,555830,6271,79396
67,5000x5000_30,30,47.683,47683,10249954,81999624,14169287,874330,6333,79992
68,5000x5000_30,30,24.864,24864,5288533,42308256,7575931,472338,6184,78794
69,5000x5000_30,30,59.966,59966,12650114,101200904,17430899,1167975,6540,82594
70,5000x5000_30,30,55.381,55381,11683416,93467320,16211924,1036405,6392,80706
71,5000x5000_30,30,24.920,24920,5099950,40799592,7397222,525246,6202,78662
72,5000x5000_30,30,23.395,23395,4942650,39541192,7156241,506013,6169,78528
73,5000x5000_30,30,52.586,52586,11038618,88308936,15252938,978136,6379,80532
74,5000x5000_30,30,23.568,23568,4928521,39428160,7139213,492189,6176,78354
75,5000x5000_30,30,55.383,55383,11407605,91260832,15616153,944067,6560,82762
76,5000x5000_30,30,27.358,27358,5696573,45572576,8001316,465890,6288,79618
77,5000x5000_30,30,49.777,49777,10234996,81879960,14136900,838859,6353,80376
78,5000x5000_30,30,26.674,26674,5519984,44159864,7860926,529913,6276,79418
79,5000x5000_30,30,49.346,49346,10176482,81411848,14037808,869187,6329,80040
80,5000x5000_30,30,27.273,27273,5782348,46258776,8103137,477380,6310,79966
