Teste,Tamanho do Grid,Percentual Obstaculos (%),Tempo de Execucao (s),Tempo de Execucao (ms),Nos Expandidos,Vizinhos Avaliados,Vizinhos Inseridos na Lista Aberta,Tamanho Maximo da Lista Aberta,Comprimento do Caminho (passos),Custo Total do Caminho
1,5000x5000_0,0,10.858,10858,1605042,12840328,3068467,226252,5244,71450
2,5000x5000_0,0,7.594,7594,1641480,13131832,3090199,137152,5272,71634
3,5000x5000_0,0,9.988,9988,1755156,14041240,3275784,243997,5285,71704
4,5000x5000_0,0,6.147,6147,1052442,8419528,1961746,128616,5180,71074
5,5000x5000_0,0,11.086,11086,1353175,10825392,2614496,159974,5210,71254
6,5000x5000_0,0,27.812,27812,1764940,14119512,3321591,198265,5278,71670
7,5000x5000_0,0,21.811,21811,1726255,13810032,3298796,220891,5262,71558
8,5000x5000_0,0,14.887,14887,1478451,11827600,2826740,191137,5253,71512
9,5000x5000_0,0,12.807,12807,1779538,14236296,3434832,218611,5268,71602
10,5000x5000_0,0,11.232,11232,1976523,15812176,3709933,253194,5310,71870
11,5000x5000_0,0,9.790,9790,1549733,12397856,2967195,224899,5244,71474
12,5000x5000_0,0,11.257,11257,1982140,15857112,3670112,142576,5298,71798
13,5000x5000_0,0,5.877,5877,978996,7831960,1898827,126387,5174,71046
14,5000x5000_0,0,10.139,10139,2055956,16447640,3770314,269123,5319,71924
15,5000x5000_0,0,5.095,5095,1278436,10227480,2418896,149560,5203,71220
16,5000x5000_0,0,11.462,11462,2611465,20891712,4715055,319672,5419,72532
17,5000x5000_0,0,6.063,6063,1455372,11642968,2670121,189877,5240,71426
18,5000x5000_0,0,6.665,6665,1721228,13769816,3222226,172238,5286,71750
19,5000x5000_0,0,2.370,2370,514751,4118000,970273,79893,5105,70624
20,5000x5000_0,0,6.002,6002,1346631,10773040,2451809,171440,5234,71414
21,5000x5000_10,10,24.520,24520,6356629,50853024,10051805,573253,5495,73132
22,5000x5000_10,10,8.640,8640,2313379,18507024,4147331,273970,5441,72736
23,5000x5000_10,10,10.634,10634,2629496,21035960,4568002,259283,5487,72940
24,5000x5000_10,10,9.664,9664,2687521,21500160,4684815,319728,5479,72876
25,5000x5000_10,10,7.837,7837,2155624,17244984,3761996,233782,5396,72522
