Teste,Tamanho do Grid,Percentual Obstaculos (%),Tempo de Execucao (s),Tempo de Execucao (ms),Nos Expandidos,Vizinhos Avaliados,Vizinhos Inseridos na Lista Aberta,Tamanho Maximo da Lista Aberta,Comprimento do Caminho (passos),Custo Total do Caminho
1,5000x5000_0,0,0.332,332,39583,316656,93762,4218,5002,69998
2,5000x5000_0,0,0.427,427,75707,605648,166328,4819,5012,70058
3,5000x5000_0,0,0.376,376,38585,308672,89750,4215,5004,70010
4,5000x5000_0,0,0.355,355,43509,348064,97927,4205,5002,69998
5,5000x5000_0,0,0.336,336,45051,360400,102655,4074,5002,69998
1,5000x5000_0,0,0.337,337,48061,384480,106755,4131,5002,69998
2,5000x5000_0,0,0.341,341,40893,327136,92663,4153,5002,69998
3,5000x5000_0,0,0.320,320,45993,367936,103231,4285,5004,70010
4,5000x5000_0,0,0.349,349,47699,381584,105957,4119,5002,69998
5,5000x5000_0,0,0.356,356,55779,446224,123490,4153,5007,70028
6,5000x5000_0,0,0.323,323,42809,342464,96597,4181,5004,70010
7,5000x5000_0,0,0.328,328,46182,369448,103224,4073,5001,69992
8,5000x5000_0,0,0.349,349,44382,355048,100399,4124,5002,69998
9,5000x5000_0,0,0.306,306,42103,336816,99071,4236,5007,70028
10,5000x5000_0,0,0.334,334,28345,226752,69232,4064,5002,69998
11,5000x5000_0,0,0.318,318,42962,343688,97883,4654,5008,70034
12,5000x5000_0,0,0.324,324,40001,320000,93427,4499,5005,70016
13,5000x5000_0,0,0.328,328,36906,295240,84732,4109,5004,70010
14,5000x5000_0,0,0.343,343,35644,285144,83098,4183,5003,70004
15,5000x5000_0,0,0.296,296,43628,349016,99388,4188,5004,70010
16,5000x5000_0,0,0.310,310,29622,236968,73695,4227,5004,70010
17,5000x5000_0,0,0.315,315,27493,219936,69789,4106,5002,69998
18,5000x5000_0,0,0.306,306,48440,387512,111568,4124,5004,70010
19,5000x5000_0,0,0.308,308,31763,254096,78138,4056,5000,69986
20,5000x5000_0,0,0.320,320,48809,390464,108649,4110,5002,69998
21,5000x5000_10,10,26.229,26229,1319643,10557136,2565428,4028,5211,71252
22,5000x5000_10,10,22.830,22830,1256042,10048328,2444883,4271,5208,71234
23,5000x5000_10,10,26.535,26535,1346911,10775280,2615549,4149,5217,71288
24,5000x5000_10,10,26.479,26479,1382445,11059552,2684115,4186,5220,71306
25,5000x5000_10,10,24.962,24962,1312337,10498688,2550224,4172,5213,71264
26,5000x5000_10,10,25.459,25459,1330639,10645104,2583232,4053,5215,71276
27,5000x5000_10,10,25.562,25562,1355914,10847304,2631384,4703,5216,71282
28,5000x5000_10,10,23.371,23371,1290257,10322048,2508475,4060,5211,71252
29,5000x5000_10,10,26.092,26092,1372206,10977640,2668237,4198,5220,71306
30,5000x5000_10,10,26.540,26540,1360829,10886624,2647079,4080,5218,71294
31,5000x5000_10,10,24.251,24251,1292761,10342080,2510196,4496,5212,71258
32,5000x5000_10,10,23.855,23855,1241454,9931624,2417048,4062,5207,71228
33,5000x5000_10,10,25.063,25063,1357835,10862672,2634263,4450,5217,71288
34,5000x5000_10,10,25.470,25470,1318376,10547000,2566228,4107,5214,71270
35,5000x5000_10,10,26.065,26065,1309991,10479920,2545239,4577,5210,71246
36,5000x5000_10,10,24.750,24750,1286722,10293768,2501240,4188,5210,71246
37,5000x5000_10,10,25.439,25439,1360844,10886744,2642162,4311,5217,71288
38,5000x5000_10,10,24.980,24980,1297267,10378128,2524430,4064,5212,71258
39,5000x5000_10,10,25.440,25440,1405276,11242200,2724254,4192,5225,71336
40,5000x5000_10,10,23.357,23357,1289522,10316168,2503316,4289,5209,71240
41,5000x5000_20,20,55.402,55402,2015307,16122448,3554370,3327,5373,72224
42,5000x5000_20,20,55.080,55080,2047978,16383816,3610094,3584,5376,72242
43,5000x5000_20,20,55.654,55654,2004639,16037104,3538346,3455,5371,72212
44,5000x5000_20,20,55.539,55539,2075651,16605200,3657153,3566,5377,72248
45,5000x5000_20,20,56.925,56925,2020624,16164984,3563561,3373,5372,72218
46,5000x5000_20,20,55.837,55837,2036791,16294320,3589065,3484,5374,72230
47,5000x5000_20,20,57.570,57570,2027981,16223840,3578527,3358,5372,72218
48,5000x5000_20,20,58.792,58792,2045742,16365928,3605136,3496,5374,72230
49,5000x5000_20,20,57.729,57729,2045134,16361064,3604828,3447,5377,72248
50,5000x5000_20,20,61.678,61678,2054853,16438816,3620521,3455,5375,72236
51,5000x5000_20,20,66.444,66444,2021810,16174472,3565814,3291,5371,72212
52,5000x5000_20,20,32.698,32698,2064130,16513032,3637719,3394,5378,72254
53,5000x5000_20,20,56.125,56125,2062093,16496736,3637004,3411,5377,72248
54,5000x5000_20,20,32.125,32125,1983597,15868768,3499745,3682,5368,72194
55,5000x5000_20,20,34.611,34611,2051611,16412880,3616151,3548,5373,72224
56,5000x5000_20,20,25.776,25776,2047246,16377960,3605610,3408,5376,72242
57,5000x5000_20,20,28.714,28714,2027335,16218672,3571159,3528,5372,72218
58,5000x5000_20,20,31.642,31642,2006551,16052400,3538887,3390,5369,72200
59,5000x5000_20,20,31.921,31921,2070528,16564216,3648818,3474,5378,72254
60,5000x5000_20,20,29.821,29821,2045133,16361056,3602531,3486,5374,72230
61,5000x5000_30,30,56.275,56275,2860550,22884392,4474008,2524,5610,73662
62,5000x5000_30,30,48.753,48753,2868936,22951480,4486332,2647,5614,73670
