Teste,Tamanho do Grid,Percentual Obstaculos (%),Tempo de Execucao (s),Tempo de Execucao (ms),Nos Expandidos,Vizinhos Avaliados,Vizinhos Inseridos na Lista Aberta,Tamanho Maximo da Lista Aberta,Comprimento do Caminho (passos),Custo Total do Caminho
1,5000x5000_0,0,0.445,445,40010,320072,93674,8192,5003,70004
2,5000x5000_0,0,0.516,516,39183,313456,92040,8238,5004,70010
3,5000x5000_0,0,0.459,459,43920,351352,100589,8218,5003,70004
4,5000x5000_0,0,0.424,424,40299,322384,95429,8323,5005,70016
5,5000x5000_0,0,0.482,482,36416,291320,87591,8385,5003,70004
6,5000x5000_0,0,0.454,454,37514,300104,89784,8277,5004,70010
7,5000x5000_0,0,0.422,422,43722,349768,99674,8209,5002,69998
8,5000x5000_0,0,0.412,412,36523,292176,87516,8120,5001,69992
9,5000x5000_0,0,0.410,410,43707,349648,99714,8494,5004,70010
10,5000x5000_0,0,0.420,420,44630,357032,104022,8305,5005,70016
11,5000x5000_0,0,0.423,423,41160,329272,95482,8413,5003,70004
12,5000x5000_0,0,0.399,399,46024,368184,103623,8185,5002,69998
13,5000x5000_0,0,0.302,302,37605,300832,89780,8145,5001,69992
14,5000x5000_0,0,0.299,299,39780,318232,93026,8371,5003,70004
15,5000x5000_0,0,0.308,308,44905,359232,101343,8386,5003,70004
16,5000x5000_0,0,0.290,290,37514,300104,89707,8238,5004,70010
17,5000x5000_0,0,0.291,291,48041,384320,107286,8205,5003,70004
18,5000x5000_0,0,0.293,293,35892,287128,86304,8132,5000,69986
19,5000x5000_0,0,0.441,441,48491,387920,107930,8128,5001,69992
20,5000x5000_0,0,0.397,397,27296,218360,69464,8061,5000,69986
21,5000x5000_10,10,34.418,34418,1366854,10934824,2653939,8148,5220,71306
22,5000x5000_10,10,22.262,22262,1332567,10660528,2587673,8453,5217,71288
23,5000x5000_10,10,19.774,19774,1315271,10522160,2557164,7713,5215,71276
24,5000x5000_10,10,21.081,21081,1387876,11103000,2692976,8328,5221,71312
25,5000x5000_10,10,21.346,21346,1379403,11035216,2679507,7792,5219,71300
26,5000x5000_10,10,21.674,21674,1384692,11077528,2688449,8185,5222,71318
27,5000x5000_10,10,19.848,19848,1356295,10850352,2631710,8775,5219,71300
28,5000x5000_10,10,19.802,19802,1283282,10266248,2496855,7913,5210,71246
29,5000x5000_10,10,26.198,26198,1315202,10521608,2557776,8008,5211,71252
30,5000x5000_10,10,22.010,22010,1322145,10577152,2567672,8214,5215,71276
31,5000x5000_10,10,23.235,23235,1369379,10955024,2656214,8473,5218,71294
32,5000x5000_10,10,27.391,27391,1363947,10911568,2650802,8009,5217,71288
33,5000x5000_10,10,27.210,27210,1386555,11092432,2692144,8885,5222,71318
34,5000x5000_10,10,22.750,22750,1219679,9757424,2390238,8321,5199,71180
35,5000x5000_10,10,33.329,33329,1318569,10548544,2563087,8214,5210,71246
36,5000x5000_10,10,25.579,25579,1308752,10470008,2547614,8199,5211,71252
37,5000x5000_10,10,36.100,36100,1451275,11610192,2815015,8579,5227,71348
38,5000x5000_10,10,39.855,39855,1326434,10611464,2572960,8429,5213,71264
39,5000x5000_10,10,28.370,28370,1298352,10386808,2527051,7905,5213,71264
40,5000x5000_10,10,23.120,23120,1400141,11201120,2715223,8221,5223,71324
41,5000x5000_20,20,48.892,48892,2024742,16197928,3570413,6777,5372,72218
42,5000x5000_20,20,62.302,62302,2079257,16634048,3661698,6771,5380,72266
43,5000x5000_20,20,54.388,54388,2122527,16980208,3739129,6781,5383,72284
44,5000x5000_20,20,51.347,51347,2052248,16417976,3613786,6620,5377,72248
45,5000x5000_20,20,52.479,52479,2045974,16367784,3607014,6585,5375,72236
46,5000x5000_20,20,52.898,52898,1954834,15638664,3451693,6508,5364,72170
47,5000x5000_20,20,68.817,68817,2051857,16414848,3612151,6754,5377,72248
48,5000x5000_20,20,46.774,46774,2071669,16573344,3652716,6647,5380,72266
49,5000x5000_20,20,46.807,46807,2140551,17124400,3769114,6683,5386,72302
50,5000x5000_20,20,52.854,52854,2133268,17066136,3753745,6869,5385,72296
51,5000x5000_20,20,50.479,50479,1970609,15764864,3477921,6763,5368,72194
52,5000x5000_20,20,56.121,56121,2136152,17089208,3764307,6871,5384,72290
53,5000x5000_20,20,51.522,51522,2034668,16277336,3591634,6821,5374,72230
54,5000x5000_20,20,56.489,56489,2048153,16385216,3615167,6575,5375,72236
55,5000x5000_20,20,53.478,53478,2086490,16691912,3676345,6769,5380,72266
56,5000x5000_20,20,58.239,58239,2081570,16652552,3666613,6660,5378,72254
57,5000x5000_20,20,55.855,55855,2034071,16272560,3585603,6666,5373,72224
58,5000x5000_20,20,56.026,56026,2068844,16550744,3649372,6742,5377,72248
59,5000x5000_20,20,50.508,50508,2007235,16057872,3536586,6463,5371,72212
60,5000x5000_20,20,50.930,50930,1997940,15983512,3526264,6583,5369,72200
61,5000x5000_30,30,116.896,116896,2818198,22545576,4412045,5373,5607,73636
62,5000x5000_30,30,105.766,105766,2826120,22608952,4424988,5286,5608,73650
63,5000x5000_30,30,105.318,105318,2852983,22823856,4462356,5510,5610,73662
64,5000x5000_30,30,104.285,104285,2801599,22412784,4383758,5264,5604,73626
65,5000x5000_30,30,104.544,104544,2824528,22596216,4421605,5264,5606,73646
66,5000x5000_30,30,103.231,103231,2842805,22742432,4448181,5431,5610,73646
67,5000x5000_30,30,101.130,101130,2807253,22458016,4391714,5176,5606,73630
68,5000x5000_30,30,104.783,104783,2826447,22611568,4423818,5390,5607,73644
69,5000x5000_30,30,102.098,102098,2782865,22262912,4354888,5731,5603,73612
70,5000x5000_30,30,106.260,106260,2826703,22613616,4423009,5301,5606,73638
71,5000x5000_30,30,104.478,104478,2808144,22465144,4394763,5145,5607,73636
72,5000x5000_30,30,108.404,108404,2802938,22423496,4385612,5414,5601,73616
73,5000x5000_30,30,109.493,109493,2833275,22666192,4433950,5582,5609,73640
74,5000x5000_30,30,109.120,109120,2863203,22905616,4479629,5539,5613,73664
75,5000x5000_30,30,107.553,107553,2813087,22504688,4404203,5443,5604,73634
