Teste,Tamanho do Grid,Percentual Obstaculos (%),Tempo de Execucao (s),Tempo de Execucao (ms),Nos Expandidos,Vizinhos Avaliados,Vizinhos Inseridos na Lista Aberta,Tamanho Maximo da Lista Aberta,Comprimento do Caminho (passos),Custo Total do Caminho
1,5000x5000_0,0,10.009,10009,732014,5856104,1342531,53963,5142,70838
2,5000x5000_0,0,17.958,17958,1399309,11194464,2523400,100638,5240,71482
3,5000x5000_0,0,51.229,51229,4043502,32348008,6907089,419293,5439,72868
4,5000x5000_0,0,12.338,12338,1225850,9806792,2344854,105648,5188,71114
5,5000x5000_0,0,15.429,15429,1561868,12494936,2941809,125922,5232,71378
6,5000x5000_0,0,18.023,18023,1910542,15284328,3554874,152333,5231,71380
7,5000x5000_0,0,16.011,16011,1492039,11936304,2741756,114519,5235,71396
8,5000x5000_0,0,16.320,16320,1664797,13318368,3111431,133742,5234,71390
9,5000x5000_0,0,10.950,10950,1027303,8218416,1947448,87750,5179,71060
10,5000x5000_0,0,10.568,10568,1117276,8938200,2101979,99450,5195,71156
11,5000x5000_0,0,18.661,18661,1685105,13480832,3117916,135383,5244,71450
12,5000x5000_0,0,6.163,6163,579520,4636152,1113408,58475,5123,70732
13,5000x5000_0,0,12.423,12423,1240225,9921792,2353904,101116,5189,71120
14,5000x5000_0,0,12.002,12002,1153993,9231936,2174718,94849,5184,71090
15,5000x5000_0,0,22.306,22306,2271976,18175800,4150785,187802,5256,71530
16,5000x5000_0,0,12.290,12290,1311201,10489600,2474179,106988,5212,71258
17,5000x5000_0,0,17.481,17481,1504179,12033424,2809486,118919,5224,71330
18,5000x5000_0,0,18.389,18389,1624419,12995344,3025816,123824,5237,71408
19,5000x5000_0,0,16.950,16950,1522375,12178992,2839428,114615,5226,71350
20,5000x5000_0,0,13.896,13896,1442297,11538368,2733692,130836,5212,71266
21,5000x5000_10,10,24.947,24947,2600848,20806776,4445744,263709,5461,72864
