Teste,Tamanho do Grid,Percentual Obstaculos (%),Tempo de Execucao (s),Tempo de Execucao (ms),Nos Expandidos,Vizinhos Avaliados,Vizinhos Inseridos na Lista Aberta,Tamanho Maximo da Lista Aberta,Comprimento do Caminho (passos),Custo Total do Caminho
1,5000x5000_0,0,0.547,547,30325,242592,75257,6758,5000,69986
2,5000x5000_0,0,0.444,444,40762,326088,92386,6846,5001,69992
3,5000x5000_0,0,0.410,410,33063,264496,80786,6789,5002,69998
4,5000x5000_0,0,0.498,498,38210,305672,89347,6900,5002,69998
5,5000x5000_0,0,0.430,430,34219,273744,82055,6770,5001,69992
6,5000x5000_0,0,0.429,429,40076,320600,91790,6783,5001,69992
7,5000x5000_0,0,0.403,403,36595,292752,85506,6860,5002,69998
8,5000x5000_0,0,0.348,348,39690,317512,91915,6889,5003,70004
9,5000x5000_0,0,0.346,346,33364,266904,81340,6787,5001,69992
10,5000x5000_0,0,0.375,375,31928,255416,78427,6746,5000,69986
11,5000x5000_0,0,0.392,392,30739,245904,76082,6743,5000,69986
12,5000x5000_0,0,0.355,355,32103,256816,78793,6749,5000,69986
13,5000x5000_0,0,0.374,374,37390,299112,88423,6935,5005,70016
14,5000x5000_0,0,0.354,354,37994,303944,88223,6979,5004,70010
15,5000x5000_0,0,0.344,344,43422,347368,99517,6832,5004,70010
16,5000x5000_0,0,0.303,303,32576,260600,79829,6812,5001,69992
17,5000x5000_0,0,0.336,336,36553,292416,86907,6924,5004,70010
18,5000x5000_0,0,0.354,354,36473,291776,87341,7045,5004,70010
19,5000x5000_0,0,0.374,374,37356,298840,87174,6780,5001,69992
20,5000x5000_0,0,0.442,442,33700,269592,82391,7023,5006,70022
21,5000x5000_10,10,32.345,32345,1386734,11093864,2696768,6942,5219,71300
22,5000x5000_10,10,22.678,22678,1367070,10936552,2656880,6610,5222,71318
23,5000x5000_10,10,24.834,24834,1367070,10936552,2648761,7174,5219,71300
24,5000x5000_10,10,21.671,21671,1336682,10693448,2595262,6516,5213,71264
25,5000x5000_10,10,19.520,19520,1289045,10312352,2506972,6586,5210,71246
26,5000x5000_10,10,19.129,19129,1325384,10603064,2572260,7149,5215,71276
27,5000x5000_10,10,21.392,21392,1420463,11363696,2753577,7736,5220,71306
28,5000x5000_10,10,18.180,18180,1290204,10321624,2506706,6739,5215,71276
29,5000x5000_10,10,20.310,20310,1345665,10765312,2612753,6993,5215,71276
30,5000x5000_10,10,19.983,19983,1326032,10608248,2576704,6424,5211,71252
31,5000x5000_10,10,20.574,20574,1355716,10845720,2638113,6736,5218,71294
32,5000x5000_10,10,20.148,20148,1341116,10728920,2606945,6844,5213,71264
33,5000x5000_10,10,21.389,21389,1357584,10860664,2638730,7046,5219,71300
34,5000x5000_10,10,21.463,21463,1290617,10324928,2507812,6567,5210,71246
35,5000x5000_10,10,20.597,20597,1283522,10268168,2498323,6543,5209,71240
36,5000x5000_10,10,32.083,32083,1331737,10653888,2587454,6874,5215,71276
37,5000x5000_10,10,37.840,37840,1432802,11462408,2777461,7504,5225,71336
38,5000x5000_10,10,30.572,30572,1319666,10557320,2561809,7933,5212,71258
39,5000x5000_10,10,29.999,29999,1369464,10955704,2660124,7208,5219,71300
40,5000x5000_10,10,23.451,23451,1340486,10723880,2602761,6810,5215,71276
41,5000x5000_20,20,50.048,50048,2061710,16493672,3631520,5579,5377,72248
42,5000x5000_20,20,47.618,47618,2097592,16780728,3698685,5509,5384,72290
43,5000x5000_20,20,45.926,45926,2072425,16579392,3648504,5636,5378,72254
44,5000x5000_20,20,45.584,45584,1992138,15937096,3512849,5534,5368,72194
45,5000x5000_20,20,47.962,47962,1983030,15864232,3499166,5578,5368,72194
46,5000x5000_20,20,59.472,59472,2004646,16037160,3534907,5512,5370,72206
47,5000x5000_20,20,56.304,56304,2008676,16069400,3547967,5630,5369,72200
48,5000x5000_20,20,51.802,51802,2064353,16514816,3643217,5489,5375,72236
49,5000x5000_20,20,58.774,58774,1938030,15504232,3418732,5409,5363,72164
50,5000x5000_20,20,37.755,37755,2028980,16231832,3577554,5639,5373,72224
51,5000x5000_20,20,22.511,22511,2023291,16186320,3572726,5446,5375,72236
